jp,en,kr
はい。一字一句、違わずにお伝えします。,I will. He shall hear the message verbatim.,"예. 한 글자 한 글자, 틀리지 않고 전하겠습니다."
"倒した後も皇女さんはオシュトルが来るまでは離れないとか言って、
最後はムネチカにお仕置きされたんだったか。","Even after we beat them, the princess insisted on staying put until Oshtor showed up. In the end, she got punished by Munechika.","쓰러뜨리고 나서도 황녀님은 오슈토루가 올 때까지 안 떨어지겠다고 해서,
마지막엔 무네치카에게 벌을 받았던가."
ぐはぁっ……,Gyaaah...,크허억……
ネコネの協力を得られた。後は自分がオシュトルになるための特訓をするのみ、だな。,"With Nekone's help secured, all that's left is for me to keep training until I can get a handle on Oshtor's fighting style.",네코네의 협력을 얻어냈다. 이제 남은 건 내가 오슈토루가 되기 위한 특훈을 하는 것뿐이군.
ウキキキ！,Ooogeegee!,우키키키!
う、ううう……,Urrrgh...,"으, 으으으……"
紅白試合の続きやぇ。,This'll be a continuation of the mock battle.,홍백전의 계속이여.
突然の乱入者に、客達も動揺を隠せず騒ぎ始める。,The sudden interruption causes the customers to start murmuring among themselves.,갑작스러운 난입자에 손님들도 동요를 감추지 못하고 떠들기 시작한다.
"#@－－#その後、イカサマなしの賭け事で全敗し破産しかけた伝説は、
八柱将ノスリの歴史に深く刻まれたのだった。","...completely unaware she's about to engrave in history the legend of Nosuri, the Eight Pillar General who loses her entire fortune to legal gambling.","#@－－#그 후, 속임수 없는 도박에서 전패해 파산 직전까지 갔다는 전설은,
팔주장 노스리의 역사에 깊이 새겨지게 되었다."
ノスリはんとルルやんかぁ。うひひ、楽しくやろうなぁ。,"Nosuri and Rulie, huh? Hee hee hee, this is gonna be so much fun.","노스리한이랑 루루냥이구만. 우히히, 재밌게 해 보자고."
ふむ……。もしや、すべて使ってしまったのでは？,Let me guess... You've already spent it all?,"흠…… 설마, 전부 써 버린 게냐?"
"ああ。我等は姫殿下を<擁:よう>している。帝都にお戻り頂くにしても、
今の帝都は逆賊が蔓延っていてそれを排除しないことにはそれも叶わぬ。","You see, we have the princess with us, but we'll need to uproot all the traitors in the Imperial Capital in order to help her reclaim it.","아아. 우리들은 공주 전하를 받들고 있다. 제도로 돌아가시게 해 드린다 해도,
지금 제도는 역적들이 창궐하고 있으니 그것들을 배제하지 않고서는 그것도 이룰 수 없다."
ホロ、ホロロロッ！,♪... ♪♪♪!,"호로, 호로로롯!"
はっ、有り難き幸せ。,"Thank you for this privilege, Your Majesty.","핫, 황송하옵니다."
"いえ。それよりも、これだけ自然が溢れていると、
木の実だけでなく山菜なども採れそうですね。","You're welcome. There's so much greenery here that I'm almost positive we can find wild vegetables, too.","아닙니다. 그보다도, 이렇게 자연이 넘쳐 나면,
나무 열매뿐만 아니라 산나물 같은 것도 캘 수 있을 것 같네요."
……！！,...!!,……!!
私達の相手はオシュトル、お前に務めてもらいたい。,And we'll be up against Oshtor. What do you think?,"우리들의 상대는 오슈토르다, 너에게 맡기고 싶다."
今日の晩ご飯は何かなって皆で話してたんよ。,"We were just wondering what's for dinner tonight, you know?",오늘 저녁밥은 뭘까 하고 다 같이 이야기하고 있었어.
こうして顔を合わせるのはオムチャッコ平原での戦い以来か。,"Haven't seen you since the battle on Omuchakko Plains, huh?",이렇게 얼굴을 마주하는 건 옴찻코 평원 전투 이후인가.
ひゃぁっ！？,Hyaa?!,히야앗!?
お待ちください。,"Just a moment, please.",기다려 주십시오.
あはは。何て言ってもわかりませんよね。,Hahaha... Not as if you can understand me.,아하하. 무슨 말을 해도 모르겠죠.
"……ナコクは先の戦いで<白磁:イナヴァ>の大橋が落ち、
ナコク城も火災により甚大な被害を受けた。","The last battle ended in the destruction of the Great Bridge of Inava, and Nakoku Castle sustained major fire damage as well.","……나코쿠는 지난 전투로 이나바의 대교가 무너졌고,
나코쿠 성도 화재로 막대한 피해를 입었다."
はい！,Okay!,예!
おらぁっ……！！,Come and get me!,오랴앗……!!
く、くそっ！　こうなったら……,Da-Dammit! Now you've done it...,"크, 크윽! 이렇게 된 이상……"
半！,Odds!,반!
誤魔化さなくていいから、判ってるから……,"You don't have to put on an act around me, I know what's going on...","얼버무리지 않아도 돼, 알고 있으니까……"
朝廷との戦いは今後も<熾烈:しれつ>を極める。,Our war against the Imperial Court will only become more intense.,조정과의 싸움은 앞으로도 치열함을 더할 것이다.
良い。それにムネチカ達はよくやってくれておる。感謝こそすれ、責めたりなどせぬ。,"Do not be, for you have gone above and beyond for me. I am nothing but thankful.","좋다. 게다가 무네치카들은 잘해 주고 있느니라. 감사할지언정, 탓하는 일 따위는 없느니라."
なっ、お前は……！,You...!,"너, 너는……!"
この二人が一緒なのもわからぬ。,Why are these two with us?,이 두 사람이 함께라는 것도 모르겠느냐.
キウルに促され、イタクは佇まいを正しながら言った。,"Upon hearing Kiwru's response, Itak neatens his appearance as he begins to talk.",키우루의 재촉을 받은 이타쿠는 자세를 바로잡으며 말했다.
それから暫くして#@－－#,Some time later...,그리고 한동안 지나#@－－#
そこまで！,"And, stop!",거기까지!
この紋所が目に入らぬか！,See and understand what this seal represents!,이 문양이 눈에 들어오지 않느냐!
そういえば、もうこんな時間なんですね。,"My, would you look at the time.","그러고 보니, 벌써 이렇게 시간이 됐군요."
うひひ。おに～さん達は、さっきのおに～さんより楽しませてくれそうやぇ。,Hee hee! You guys look more fun than the last bunch.,"우히히. 형님들은, 아까 그 형님보다 더 즐겁게 해 줄 것 같구먼."
何だ何だ？,What's going on?,"뭐냐, 뭐냐?"
これからもよろしく頼む。,Do continue to support me in this way.,앞으로도 잘 부탁한다.
やめっ、痛っ、うひぁっ！？,"Stop it! Ouch, that really hurts!","그만, 아얏, 으히앗!?"
まぁ……いいか。聞こえなかったことにしておこう。,Well... it's fine. I'll pretend I didn't hear it.,뭐…… 됐나. 못 들은 걸로 해 두지.
"それならヤクトワルトさんを真似してみればいいんですよ。
ですよね、ヤクトワルトさん？","Perhaps the best thing to do is to mimic Jachdwalt's way of speaking. Is that correct, Jachdwalt?","그럼 야쿠토와루토씨를 흉내 내 보면 되는 거예요.
그렇죠, 야쿠토와루토씨?"
いや、その理屈はおかしい。って、本気で言っているんじゃないだろうな。,"She's making zero sense. Is she really serious
about this?","아니, 그 논리는 이상해. 설마 진심으로 하는 말은 아니겠지."
な、何でぃいきなり！？,Wh-What the heck?!,"뭐, 뭔데 갑자기!?"
俺、俺達、感動しました……！,"We, We were blown away!","저, 저희, 감동했습니다……!"
はは。勝った相手にそんなことを言われても素直に喜べないじゃない。,Heh! Not sure how to take a compliment like that from someone I just lost to!,하하. 이긴 상대에게 그런 말을 들어도 순순히 기뻐할 수는 없잖아.
"そして聖上やオシュトル殿の前で誓ったように、
以前よりもさらに素晴らしい國を作りあげてみせます。","Not just that. Together, we will create an even better country than before, just as I have vowed to do before Her Highness and Lord Oshtor.","그리고 성상과 오슈토르공 앞에서 맹세한 대로,
이전보다 더욱 훌륭한 나라를 만들어 보이겠습니다."
たっぷり動いたからお腹空いたぇ。,All that hard work has made me so hungry.,실컷 움직였더니 배고프네.
宣言に、兵達の間に緊張が走る。,The soldiers tense up at this declaration.,그 선언에 병사들 사이로 긴장감이 퍼진다.
ミカヅチがニヤリと笑う。,Mikazuchi boasts with a grin.,미카즈치가 씨익 웃는다.
はい、もう今後は……。どうかお許しを！,"Yes, we will never do that again... Please spare us!","예, 이제 앞으로는…… 부디 용서해 주십시오!"
うおおおおおおおおお！,Raaaaaaaaah!!,우오오오오오오오오오!
"どうやら例の賭博場では、
一風変わった賭博が流行っている……との情報も入っていまして。",The information I have mentions a peculiar kind of gambling getting popular in the gambling dens there.,"아무래도 그 문제의 도박장에서는,
조금 색다른 도박이 유행하고 있다……는 정보도 들어와 있어서요."
"ふむ、トキフサの残党か……。
とはいえ、父上が説得してほとんどの残党がこちらの仲間になったと聞いた。","Ah, Tokifusa's remnants, you mean...
Hasn't Father already persuaded most of them to defect to us, though? That's what I heard.","흠, 토키후사의 잔당인가…….
하지만 아버님께서 설득하셔서 대부분의 잔당은 이쪽 동료가 되었다고 들었다."
聖上には立ち会いをお願いしたく、お連れした次第。,"It is to witness a duel, Your Highness.","성상께는 입회를 부탁드리고자, 모셔 온 것입니다."
"それなら国境沿いの山道になります。
昼間は多少ヒトの行き来があるですが、夜は誰も通ったりしないのですよ。","How about the mountain trail along the border? Lots of people pass through during the day, but nobody goes there at night.","그렇다면 국경을 따라 난 산길이 됩니다.
낮에는 어느 정도 사람 왕래가 있지만, 밤에는 아무도 지나가지 않아요."
お恥ずかしいことですが……,"I am ashamed to admit it, but yes...",부끄러운 일이지만……
いえ、ヤクトワルト！　売られた喧嘩を買わずして、何が漢か！,"Now you've said it! If it's a fight you want, it's a fight you'll get, as men do!","아니, 야쿠토와루토! 걸어온 싸움을 받아주지 않고서야, 무슨 사나이란 말이냐!"
そう言われてしまっては、引き下がるほかない。,Anju gives Kiwru no choice but to back down.,"그렇게 말해 버리니, 물러나는 수밖에 없다."
はは、慰めてくれてありがとなシノノン。,"Thanks for the encouragement, Shinonon.","하하, 위로해 줘서 고맙다 시노논."
あやや、負けたぇ。,"Aww, we lost.","아야야, 졌네."
しかし#@－－#,But alas...,하지만#@－－#
…………そんなこと。,...That's not true...,…………그런 일.
ははっ、自覚があるんだろ。,"Hah! He's got a working brain, at least.","하핫, 자각은 하고 있나 보네."
両者痛み分けってところか、しかし派手にやったものだ。,"I guess that's a draw. Still, they really made a
mess of this place.",양쪽 다 상처만 입은 셈인가. 하지만 참 요란하게도 했군.
オシュトルさん。後は僕がやっておくので、姉上のことお願いしますね。,"Oshtor, I'll handle the rest, so please take care of my dear sister.","오슈토르씨. 나머지는 제가 해 둘 테니, 누님을 부탁드립니다."
満足したのなら帰るぞ。<皆:みな>が心配する。,"If we're done here, then we should head back.
Everyone's going to be worried.",만족했다면 돌아가자. 모두가 걱정한다.
いつぞや……？　一体、何の話じゃ。,What conversation?,언젠가……? 대체 무슨 이야기냐.
さすがオウギ、理解が早くて助かる。,"I knew I could trust you to understand, Ougi.","역시 오우기, 이해가 빨라서 도움이 되는군."
失礼するです。,Thank you.,실례하는 것입니다.
"アンジュ達がそんなやり取りをしていると、
門の向こうから<ウマ:ウォプタル>に乗った一団がやってくる。",A group of soldiers on woptors ride out from the gates as they are talking.,"안쥬 일행이 그런 이야기를 나누고 있자,
문 너머에서 워프타르를 탄 일행이 다가온다."
よし、急いで屋敷に戻るぞ！　皆の者、<余:よ>について参#@－－#,"We must make haste and return immediately! Everybody, follow me—","좋아, 서둘러 저택으로 돌아가자! 모두들, 짐을 따르#@－－#"
いや……。ん？　シノノン？,No problem... Hm? Shinonon?,아니…… 응? 시노논?
ネコネさん……,Nekone...,네코네씨……
何か目標を決めて……,I need something to focus my attacks on...,뭔가 목표를 정해서……
"……この先もお二人に甘えるわけにはいきません。
今度は私があのお二人のように強くならなくては。",I mustn't keep relying on their kindness. It would behoove me to strive to become as strong as they are.,"……앞으로도 두 분께 계속 기대기만 할 수는 없습니다.
이번에는 제가 그 두 분처럼 강해지지 않으면 안 됩니다."
まずはその言葉遣いだな。,Maybe do something about the way you talk first.,우선은 그 말투부터로군.
ふむ……。これなら、心配はいらなそうだな。,Yes... There's no need to be concerned.,흠…… 이거라면 걱정할 필요는 없겠군.
それが<帝:ミカド>に忠心する我等、ノスリ旅団の役目である！！,"That is the duty of the Nosuri Thieves, loyal subjects of the Mikado!",그것이야말로 미카도께 충성하는 우리 노스리 여단의 역할이다!!
"それがどうした。
悪事の片棒を担ぐのなら、こいつ等も同類だ！　我が正義の鉄槌、受けてみよ！",Who cares! Anyone enabling their wicked deeds is as bad as the wicked-doers themselves! My hammer of justice shall smite them all!,"그게 어쨌다는 거냐.
악행에 한몫 거드는 놈들이라면, 이 녀석들도 한패다! 나의 정의의 철퇴, 받아 보아라!"
はい。腕によりをかけて作りますね。,Yes! With all my heart and soul.,예. 정성을 다해 만들게요.
うひひ。キウやん、嬉しそうやったなぁ。,"Aww, Kiwi looks so happy.","우히히. 키우냥, 엄청 기뻐했지."
"うぐっ……。
いや、たとえすっからかんになろうと負けたまま引き下がるわけにはいかないだろう！","Urgh... I mean, that doesn't matter! I couldn't just run away like a loser!
It was the principle of the thing!","우긋…….
아니, 설령 완전히 빈털터리가 된다 해도 진 채로 물러날 수는 없잖아!"
アンジュの言葉に、フミルィルは胸の前で小さく手を叩く。,Fumirul clasps her hands in front of herself.,안쥬의 말에 후미뤼루는 가슴 앞에서 작게 손뼉을 친다.
今、我等がいるのは帝都だ。帝都には何がある？,We are in the Imperial Capital right now. And what does the Imperial Capital have?,지금 우리들이 있는 곳은 제도다. 제도에는 무엇이 있지?
ああ。お前達にエンナカムイ周辺の偵察を頼みたい。,Yes. I'd like you to go scout out the area around Ennakamuy.,그래. 너희들에게 엔나카무이 주변 정찰을 부탁하고 싶다.
くんず、ほぐれつ……？,Are they...wrestling...?,뒹굴고 뒹키고……?
クスッ……。それじゃあ戻ろう。,"Hehe... Yes, we should head back, then.",큭스…… 그럼 돌아가자.
"その時に剣を握れず、
扱いも知らぬようではいかに術で誤魔化そうと不審に思う者が出てこよう。","If I don't take up a sword then, or if I wield it clumsily, many eyebrows will surely be raised in suspicion.","그때 검을 쥘 수조차 없고,
다루는 법도 모른다면 아무리 술법으로 속인다 한들 수상하게 여기는 자가 나오겠지."
アトゥイ、こっちも相手が見つかったぞ。,"Which means I have my teammate now, Atuy.","아투이, 이쪽도 상대를 찾았다."
そう言って、ムネチカは背後の荷車を見遣る。,Munechika glances at the wagon behind them.,"그렇게 말하며, 무네치카는 등 뒤의 짐수레를 바라본다."
ムネチカさま、先ほどお勧めした本です……,"Miss Munechika, here is the book I was talking about just now...","무네치카님, 아까 추천해 드린 책입니다……"
"エンナカムイの食糧事情を調べるのも偵察の一部と言えるでしょうし、
地形の把握ついでに食料も調達して行きましょうか。","Since ascertaining the food situation in Ennakamuy is part of our investigation, we should also procure some foodstuffs while we scope out the area.","엔나카무이의 식량 사정을 살피는 것도 정찰의 일부라고 할 수 있을 테고,
지형을 파악하는 김에 식량도 조달해 가죠."
"今後、朝廷と事を構えるのは必定。
その際に<某:それがし>が後方に控えているわけにはいかぬのだ。","It is inevitable we will have to fight against the Court at some point, and I cannot linger in the back when that time comes.","앞으로 조정과 맞서게 되는 것은 필연.
그때 소신이 후방에만 머물러 있을 수는 없는 노릇이다."
勝てて良かった……,I'm so relieved we won...,이겨서 다행이야……
"私の話を聞いて、協力してもいいと思えたのなら……この手を取って欲しい。
さすれば私は未来永劫、お前達を守り導くと誓おう！","But if you do decide to help me after hearing me out, then...take my hand. It comes with a promise to guide and protect you until the end of time!","내 이야기를 듣고 협력해도 좋겠다고 생각했다면…… 이 손을 잡아다오.
그리하면 나는 미래영겁토록 너희를 지키고 이끌겠노라 맹세하겠다!"
ふむ……。私とお前達を敵将に見立てて、兵力を推し量るのはどうだ？,"Well, how about pretending to be enemy soldiers so as to assess how combat-worthy we are?","흠…… 나와 너희들을 적장이라 여기고, 병력을 가늠해 보는 건 어떠냐?"
晩ご飯ですか？　確か肉料理だったと思うのですよ。,Dinner? I think it was meat or something.,저녁밥 말입니까? 아마 고기 요리였던 것 같습니다.
それでは、また……,Until we meet again...,"그럼, 또……"
な、ななな、何だオシュトルか！,Oshtor! What are you doing here?,"뭐, 뭐뭐뭐, 뭐냐 오슈토르인가!"
ふふ、お元気そうで何よりです。,We are certainly heartened to find you well.,"후후, 건강해 보이셔서 다행입니다."
しゅっぱつしんこうー！,"Giddy-up, my loyal steed!",출발 진군ー!
ハイです。,That's true.,네입니다.
"この戦いに勝利し、聖上を帝都にご帰還させる。
そのお手伝いが出来ることはナコクの誉れ。
そのようにオシュトル殿にもお伝えください。",We will win the battle and return Her Highness to the Imperial Capital. It would be an honor for Nakoku to participate. Please convey this message to Lord Oshtor.,"이 전투에서 승리하여 성상께서 제도로 귀환하시게 한다.
그를 도울 수 있다는 것은 나코쿠의 영예.
그 말씀을 오슈토르공께도 전해 주십시오."
オシュトル……。,Oshtor...,오슈토르…….
先ほどは手荒な真似をしてすまなかった。,I apologize for getting rough with you just now.,아까는 거칠게 굴어서 미안했다.
よく考えてみれば、皇女さんの狂言誘拐の時以来だな。,The last time we did this was during the princess's fake kidnapping.,"잘 생각해 보니, 황녀님의 가짜 납치 때 이후로 처음이구나."
ぬぐぅ……,Guaaah...,누구우……
あの……こちらを……,Hello... If you don't mind...,저기…… 이걸……
"百の言葉より、一握りの<拳:こぶし>。迷った時は殴り合いや。
殴り合えば、そこから心が伝わってくるんよ。","A punch is worth a thousand words. Birds of a
feather fight together. Thwack unto others as
you would have them thwack unto you!","백 마디 말보다, 한 줌의 주먹. 망설여질 때는 주먹다짐이여.
주먹을 맞부딪치다 보면, 거기서 마음이 전해지는 기라."
ギチギチ……ギチギチチチ。,Grraaar...,기치기치…… 기치기치치치.
そう言って、オウギが伏せていた壺を開く。,Ougi knocks over the cup covering the dice.,"그렇게 말하며, 오우기가 엎어 두었던 항아리를 연다."
えっ……？　あの、どういうことですか？,"Huh? Err, what do you mean?","엣……? 저, 무슨 말씀이신가요?"
アンジュも男の正体に気づいたのだろう。,Anju recognizes the man.,안쥬도 그 남자의 정체를 눈치챈 모양이다.
ムネチカ様？,Miss Munechika?,무네치카님?
とぉちゃんをよんでくる！,I'll go call Daddy!,아빠 불러올게!
ハイです。キウルが守ってくれたお陰なのですよ。,"Yes, because you protected me.",네입니다. 키우루가 지켜 준 덕분인 것입니다.
あっ、私も行きます！,I'm coming with you!,"앗, 저도 갈게요!"
"オシュトル様、私がこの女を倒すのを見届けてください。
そして晴れて私とオシュトル様は……うふふふ～。","Lord Oshtor, stand there and watch me defeat this woman so that I can make us official... Hehehehe!","오슈토르님, 제가 이 여자를 쓰러뜨리는 걸 지켜봐 주세요.
그리고 드디어 저와 오슈토르님은…… 우후후후～."
ふぅ……。特訓のおかげか、刀を振るうのにも慣れてきたな。,Whew... All this training has helped me become quite proficient with the sword.,"후우…… 특훈 덕분인지, 칼을 휘두르는 것도 익숙해졌군."
そんなことも……！？,ANYTHING?!,그런 것까지도……!?
どこ行くんぇ。,Where are you going?,어디 가노.
その言葉を聞き、キウルはぱっと顔を輝かせる。,Kiwru's face brightens at the compliment.,"그 말을 듣고, 키우루는 활짝 얼굴을 빛낸다."
大丈夫です。今でもとっても可愛らしいんですから、もっともっと可愛くなりますよ。,"No need be concerned, for you are already a lovely lady in your own right. All I'll be doing is making you even lovelier!","괜찮아요. 지금도 무척 귀여우니까, 더더욱 귀여워질 거예요."
むむむ、ムネチカ！　な、なにゆえお主がここに！？,Mu-Mu-Munechika! Wh-What're YOU doing here?!,"므므므, 무네치카! 어, 어째서 네가 여기에 있는 게냐!?"
待て、勝負は私の勝ちだろう。,Hold it! I'll have you know I won the battle.,"기다려, 승부는 내 승리잖아."
ふん、<余:よ>をついで扱いか。,"Hmph. I'm an afterthought, huh?","흥, 짐을 덤 취급이냐."
数日後#@－－#,A few days later...,며칠 뒤#@－－#
あやや。オシュトルはんってば鈍感やぇ。,"Oh, Oshtor. You can be so dense sometimes.",아야야. 오슈토르씨도 참 둔하구먼.
"確かに兄さまに処理して頂きたい案件は沢山あるですが、
中にはわたしで処理できるものもありますから。","There is certainly a mountain of paperwork waiting for you, but I can handle some of it.","확실히 오라버니께 처리해 주셨으면 하는 안건은 많지만,
그중에는 저 혼자 처리할 수 있는 것도 있으니까요."
……有難う、ネコネ。,"Thanks, Nekone.","……고마워, 네코네."
いいえ。あの惨状を見た者であれば、誰だってキウルさんのようになりますよ。,No. Anyone would react the same way after witnessing that terrible scene.,"아니요. 그 참상을 본 사람이라면, 누구라도 키우루씨처럼 될 거예요."
そして、<皆:みな>に掲げた。,She raises it before everyone's eyes.,"그리고, 모두에게 내걸었다."
"ああ、勘違いするでないぞ。
<其方:そなた>が強いのは喜ばしい事である。現に<余:よ>も喜んでおったしな。
じゃが……","Oh, don't be mistaken, as you can see, I am clearly elated that you possess such great strength. It's just...","그래, 착각하지는 마라.
네가 강한 것은 기쁜 일이다. 실제로 짐도 기뻐하고 있었으니.
허나……"
わわっ！　シノノンちゃん、こんなところで寝ちゃ駄目だよ！,"No, Shinonon, you can't sleep here!","와왓! 시노논쨩, 이런 데서 자면 안 돼!"
はい、お散歩です。,That's right. We're out on a walk.,"네, 산책입니다."
#@－－#そこまで！！,"And, stop!",#@－－#거기까지!!
わっ、シノノンちゃん？　まだオルケが近くにいるかもしれないし、危ないよ。,"Shinonon?! We have to be careful, there may still be orke lurking around.","왓, 시노논쨩? 아직 오루케가 근처에 있을지도 모르니까 위험해."
ネコネ、大丈夫だ。兄を信じよ。,"It's fine, Nekone. Have faith in your older brother.","네코네, 괜찮다. 오라버니를 믿거라."
……まぁ、それはそうとしてだ。,"...Well, putting that aside...","……뭐, 그건 그렇다 치고."
キヒヒ、わかってますって。,Hehehe... I hear ya.,"키히히, 알고 있다니까."
……エンナカムイには、シノノンちゃんと同じ年頃の子供が少ない。,There aren't many children around Shinonon's age in Ennakamuy.,"……엔나카무이에는, 시노논쨩과 비슷한 또래 아이가 적다."
ピュ～……プピュ～……♪,*bad whistling sounds*,퓨～…… 푸퓨～……♪
よ、よろしくお願いします！！,We're ready for an-anything!,"자, 잘 부탁드립니다!!"
八柱将が一人、鎮守のムネチカ#@－－#推して参る！！,"I am Munechika, Guardian Deity of Yamato's Eight Pillar Generals! En garde!","팔주장 중 하나, 진수의 무네치카#@－－#밀고 나가겠다!!"
ムネチカが思案にふけっていると、柔らかな声がそれを中断させた。,Munechika is jolted from her thoughts by a soft voice.,"무네치카가 생각에 잠겨 있자, 부드러운 목소리가 그것을 끊었다."
ウギャギャッ！,Ooogeeooogee!,우갸갸앗!
いえ……。あの、兄さま。ウコンの時の太刀筋を取り入れてはどうです？,"It's okay... Dear Brother, have you considered adopting Ukon's sword style instead?","아니요…… 저, 오라버니. 우콘 때의 검로를 받아들여 보면 어떠세요?"
たまたま……。うん、たまたまだよね。,"It's just a coincidence... Yes, it has to be.","우연히…… 응, 우연이겠지."
となると、書類仕事は任せられない……,Which means paperwork is a no-go for her...,"그렇다면, 서류 업무는 맡길 수 없겠군……"
アンジュに頼まれ、イズルハ兵は慌てて平服する。,The Izuruha soldier quickly kneels in obeisance at Anju's request.,"안쥬의 부탁을 받고, 이즈루하 병사는 허둥지둥 평복으로 갈아입는다."
"ムネチカ？　い、いきなりどうしたのじゃ。
<其方:そなた>、先ほど武者修行はあれで終いじゃと#@－－#",Munechika? Wh-What's gotten into you all of a sudden? Didn't you just say your training was ov—,"무네치카? 가, 갑자기 왜 그러느냐.
너, 조금 전 무사 수행은 저걸로 끝이라고#@－－#"
あ～…………,Aaah...,아～…………
"小生の目的は己よりも強い<武人:もののふ>と出会い、負けること。
それが成し遂げられなかったのだから、喜ぶのではなく気落ちするべきである。","I am trying to find a mononofu who is strong enough to defeat me. Since I cannot accomplish that, I ought to feel sad and not happy.","소생의 목적은 자신보다 강한 무인과 만나, 패배하는 것.
그걸 이루지 못했으니, 기뻐할 게 아니라 낙담해야 마땅하다."
ん？　あっ、オーギやねぇちゃもいるぞ！,Is that Ougi and Sis?,"응? 앗, 오우기랑 누님도 있네!"
"はっ。トゥスクル侵攻という状況ではなくなり、小生は殿を務めこの地に残り……。
そしてフミルィル殿にこの命を救われました。","Yes. It was no longer feasible to continue with the invasion, so I remained in Tuskur to serve as rear guard... and Lady Fumirul saved my life.","핫. 투스쿨 침공이라는 상황은 끝났고, 소생은 후위를 맡아 이 땅에 남아…….
그리고 후미뤼르공께 이 목숨을 구원받았습니다."
ゴメンなぁ、こんな時間に呼び出して。ちょっとだけ用事があったんよ。,"Sorry for calling you out this late, pet. There's
just something I thought we ought to do.","미안하구나, 이런 시간에 불러내서. 잠깐 용무가 있었거든."
は、はい……,I-I see...,"하, 하이……"
ですが、どうかそこを曲げて力を貸してください！　お願いします……！！,But I hope you'll at least consider it! We really need your help! Please!,"하지만, 부디 그 뜻을 꺾고 힘을 빌려 주십시오! 부탁드립니다……!!"
あの程度でやられるほどトゥスクルの将が弱いわけがなかろう！　,I refuse to believe a general of Tuskur is THAT weak!　,그 정도로 당할 만큼 투스쿨의 장수가 약할 리가 없잖느냐!
これからも稽古を重ねれば、いつしか私を打ち倒すことができるかもしれない。,Keep training and you may just be able to defeat me one day.,"앞으로도 수련을 계속 쌓는다면, 언젠가는 나를 쓰러뜨릴 수 있을지도 모른다."
背後から出てきたアトゥイとノスリに、兵達の反応は様々だ。,"As Atuy and Nosuri walk out, their presence evokes an array of emotions from the soldiers.","뒤에서 나온 아투이와 노스리를 보고, 병사들의 반응은 제각각이다."
ん～、もうちょっと待っててな。もうすぐ来ると思うんよ。,"Hmmm... Just wait a little bit longer. Won't be
long before the next guest arrives.","음～, 조금만 더 기다려 주라. 이제 곧 올 것 같구먼."
ビクン#@－－#！,*jolt*,움찔#@－－#!
……聖上。,Your Majesty...,……성상.
まあ、戦後処理のようなものだ。同じ仕事でも、書類仕事よりはよほどマシだろう？,"Consider it part of post-war cleanup or something. You prefer this over paperwork anyway, right?","뭐, 전후 처리 같은 거다. 같은 일이라도 서류 업무보다는 훨씬 낫겠지?"
殊勝な心がけだねぇ。そういうことなら、付き合うじゃない。,Commendable spirit there. I see no reason to say no.,"기특한 마음가짐이네. 그런 거라면, 같이 해 주지."
シノノンが頑張ってるのに、俺達もぼうっとしてられないじゃない。,Are we gonna let Shinonon do everything while we stand around doing nothing?,"시노논이 열심히 하고 있는데, 우리도 멍하니 있을 수는 없잖아."
む、無理無理！　もう無理じゃあ！,I-I can't! I can't do this anymore!,"무, 무리무리! 이젠 정말 무리여!"
"えっと、今日は私個人のお願いで……。
お二人にはエンナカムイ兵の特訓に付き合って欲しいんです。","Well, I called you today for a personal request. I'd like to ask the both of you to train the Ennakamuy soldiers with me.","저기, 오늘은 제 개인적인 부탁으로…….
두 분께 엔나카무이 병사들의 특훈을 함께해 주셨으면 해서요."
元気そうに見えても、子供なりに不安な気持ちを抱えてるじゃない。,"And, even when they look cheery on the outside, they're managing their uneasiness as best they can as children.","겉보기엔 괜찮아 보여도, 아이 나름대로 불안한 마음을 안고 있는 거잖아."
兄さま、大丈夫なのですか……？,"Are you okay, Dear Brother?","오라버니, 괜찮으신 건가요……?"
"……今だから正直に話そう。当初、この國に落ち延びてきたときの、
<其方:そなた>達の練度はお世辞にも高いとは言えなかった。
いや、朝廷の兵と比べたら赤子も同然であった。","I can be honest with you, now. When I first returned to this country, the military skills of this army were barely up to scratch. In fact, you would have been like toddlers with sticks before the Imperial Army.","……지금이니 솔직히 말하지. 처음 이 나라로 도망쳐 왔을 때,
너희들의 숙련도는 좋게 말해도 높다고는 할 수 없었다.
아니, 조정의 병사들과 비교하면 갓난아기나 다름없었지."
しかし、そうなるとムネチカの婿探しもここでお終いということになるのう。,Though that also means this is the end of your search for a groom.,"하지만, 그렇게 되면 무네치카의 사윗감 찾기도 여기서 끝이라는 말이 되는구나."
クジュウリとの同盟を結んでから半月ほど経った頃#@－－#,About two weeks after the alliance with Kujyuri was formed...,쿠쥬우리와 동맹을 맺고 반달쯤 지났을 무렵#@－－#
それは有り難い。是非、ご一緒させ#@－－#,"That would be delightful! Yes, please allow me to—","그건 고맙군. 꼭, 함께하겠#@－－#"
キウルさん、頼みましたよ。,"This is where you come in, Kiwru.","키우루씨, 부탁드릴게요."
つまり、はっちゃけすぎて動けなくなったわけか。,"So in other words, they had so much fun, they
can't even move anymore.","즉, 너무 신나게 날뛰다가 움직일 수 없게 됐다는 건가."
道理で見覚えのある従者がいると思った……,I thought those attendants looked familiar...,어쩐지 낯익은 종자가 있다 싶었는데……
本来なら小生に付き合わず、政務に#@－－#,"In fact, you should really be handling national affairs rather than following—","원래라면 소생과 함께하지 않고, 정무에#@－－#"
